nama,bintang,komentar,Waktu,Place name
syamsul saragi,5.0,Lokasi mantapp,5 months,Bobocabin Bunaken Hills Manado
Izabella Lubis,5.0,"Klo cuma punya waktu singkat buat healing sejenak, disini sangat cocok, masih di kota manado, kurang dari 20 menit dari pusat kota. Rekomendasi",6 months,Bobocabin Bunaken Hills Manado
Falen Gampu,5.0,,6 months,Bobocabin Bunaken Hills Manado
timothy,5.0,Pemandangannya sangat bagus bisa dilihat Gunung Klabat dan Pulau Manado Tua serta dekat dengan kawasan kota Manado,6 months,Bobocabin Bunaken Hills Manado
Apriliano Tombeg,5.0,,6 months,Bobocabin Bunaken Hills Manado
Magda Mory,5.0,,6 months,Bobocabin Bunaken Hills Manado
Sembalun Box,5.0,,8 months,Bobocabin Bunaken Hills Manado
dyah rima,5.0,"Staycation terbaik yang pernah saya lakukan, overall bagus banget, sayangnya pemanas air di kamar mandi hanya untuk shower,kran kamar mandi dan wastafel tidak ikut panas …",11 hours,Bobocabin Coban Rondo Malang
Kevin Yohan Permadi,5.0,,3 days,Bobocabin Coban Rondo Malang
wanda,4.0,"menurut aku harganya kurang worth it kalo 1 jt lebih yaa, karna makanannya ga enak :( ini lebih ke cari experience baru aja sebenernya, tp harusnya makanannya juga di imbangi dengan harga kamar yg 1 jt itu lah",4 days,Bobocabin Coban Rondo Malang
Ellina de Jong,4.0,"Kamarnya oke, suasananya juga bagus, minusnya hanya 1 yaitu biaya masuk. Saat kita masuk ke lokasi hotel, ada gerbang untuk masuk ke kawasan coban rondo, dan kalaupun kita tamu hotel tetap harus bayar per orangnya sekitar 10rb...",4 days,Bobocabin Coban Rondo Malang
Sita kriswanti,5.0,Dapet cabin 5 soalnya beli yang with view sebenernya bagus bangettttt worth sih harga segitu,a week,Bobocabin Coban Rondo Malang
Anas Anas,3.0,,a week,Bobocabin Coban Rondo Malang
bagus lol,3.0,"Kurang worth it fasilitas nya untuk harga segitu, lebih baik mendaki klo nyari view bagus.",2 weeks,Bobocabin Coban Rondo Malang
Glenn Ronadi,5.0,"Tips:
- Akses dropoff hanya muat 1 mobil sehingga harus bergantian dan jalannya agak menanjak. Mobil pun parkirnya jauh di dekat air terjun coban rondo, nanti diantar …",2 weeks,Bobocabin Coban Rondo Malang
Edy s,3.0,"Saya menginap setelah Idul Adha 2024. Menurut saya, sebaiknya ukuran kamar diperbesar, misalnya lebih panjang 1m.. lebar 0,5m.. kamar mandi lebih 0,5m. Dan lebih cocok untuk segmen menengah.. tidak seperti camping di hutan jaman dulu. Cukup menginap disini 1x.. kecuali ada kamar yang lebih besar",2 weeks,Bobocabin Coban Rondo Malang
Ellak L M,5.0,,2 weeks,Bobocabin Coban Rondo Malang
felisha nismara,3.0,"dari awal mau checkin menunggu agak lama karena ada trouble dari server/aplikasinya, tapi receptionist cukup membantu mencarikan solusi lain. fasilitas kamarnya menurutku kurang ya untuk harga sejutaan permalem, nggak dikasih slipper …",2 weeks,Bobocabin Coban Rondo Malang
Charlotte Smith,5.0,"Paling suka misty vibes saat sore dan sunrise yg super cakep di pagi hari, aksesnya emang agak sempit kalau bawa mobil dan parkir agak jauh, tapi ga masalah. Makanannya lumayan lah untuk di daerah seperti ini jauh dari permukiman. Recommended 👍🏻 …",2 weeks,Bobocabin Coban Rondo Malang
Abdul Latif,5.0,"Pengalaman yang luar biasa untuk tidur bersama keluarga di kabin kecil daerah pegunungan. Saya menginap bersama keluarga tanggal 20-21 Mei 2024. Kabinnya nyaman, king bed, futuristik, pemandangan bagus. Cuaca sekitar sangat nyaman dan …",3 weeks,Bobocabin Coban Rondo Malang
Alina Jazin,5.0,Keren sih ... Sesuai harga ya.,a month,Bobocabin Coban Rondo Malang
edward budiman,3.0,Setidaknya di area outdoor/ teras per kamar diberi payung / tutupan supaya tidak kehujanan jikalau sedang makan / memasak di ares tsb,a month,Bobocabin Coban Rondo Malang
Desi Iswanda,5.0,Rekomen buat yang udah halal aja ya guys,a month,Bobocabin Coban Rondo Malang
Anggun Nike,5.0,"baguss bangett, cocok buat orang yg introvert kek aku, rekomen buat yg udh halal aja yaa guyssss✨",a month,Bobocabin Coban Rondo Malang
Fachri627 Wkwk,5.0,,a month,Bobocabin Coban Rondo Malang
Dedi Eko,4.0,"Liburan sambil staycation di tempat berketinggian dan berudara sejuk telah menjadi pilihan bagi warga ataupun wisatawan di berbagai tempat. Di sekitaran Malang, tepatnya di area wisata Coban Rondo, terdapat penginapan yang unik untuk …",a month,Bobocabin Coban Rondo Malang
Grefti -,5.0,"Bintang 5 ini untuk pengalaman nginap yg luar biasa viewnya di bobocabin batu malang, 4 jempol buat pegawainya khususnya pegawai perempuan asli responsif banget.. Semoga kedepannya di sediakan penyewaan sepeda gunung buat keliling coban …",a month,Bobocabin Coban Rondo Malang
Illiyin Nur Yunihansri,1.0,"Sarapannya kurang enak, pegawai bilang tidak bisa ditambah lauk ayam goreng, pegawai kurang ikhlas.",a month,Bobocabin Coban Rondo Malang
dea,5.0,,a month,Bobocabin Coban Rondo Malang
Trip.com Member,4.1,"Pemandangannya sungguh menakjubkan, Anda dapat memesan beberapa peralatan memanggang di dalam aplikasi, tempat parkir mobil tidak tepat di depan hotel sehingga perlu dibawa dengan motor keamanan",a month,Bobocabin Coban Rondo Malang
Adi S,5.0,"Penginapan Bobocabin Coba Rondo baru pertama kali dengan tanggal 7 Agustus 2023. Tempatnya bagus, masuknya bayar tiket dengan tarif tiga puluh lima ribu rupiah perorang untuk hari biasa dan hari sabtu minggu libur dengan tarif empat puluh …",a month,Bobocabin Coban Rondo Malang
Ismail Muhamad,5.0,,a month,Bobocabin Coban Rondo Malang
fince agustina,5.0,,2 months,Bobocabin Coban Rondo Malang
Harasta Haifah,5.0,"experience yang menyenangkan mulai dari awal check-in lobby mengarah ke view kota, cabin relatif small but worth sama viewnya pas malam romantic. Mas receptionist asik if I'm not wrong namanya muhammad, dia juga rekomen another bobocabin and also he smells so good. Good job bobocabin coban rondo.",2 months,Bobocabin Coban Rondo Malang
Alifia Candra Puriastuti,5.0,"Camping dengan cara modern..
Overall oke, kamar oke, lokasi oke pemandangan malem n pagi okee..
Sayangnya : …",2 months,Bobocabin Coban Rondo Malang
Riza Fira nadia,5.0,"Kamar nyaman walau kecil, pelayanan bagus, dan suasana sangat menenangkan",2 months,Bobocabin Coban Rondo Malang
Gustaf Janga,5.0,Saya suka tempat itu,2 months,Bobocabin Coban Rondo Malang
Cahya Apriana,5.0,suasananya luarrr biasa.... bagus banget.... pelayanan  juga baguss. excelent pokoknya ..... harap sedia camilan yang banyak sambil menikmati pemandanga n yg undah ☺,2 months,Bobocabin Coban Rondo Malang
Oki Seti Setia Sejati,5.0,"Keren ni viewnya asli
G sia sia kesini jauh jauh dari purwokerro",2 months,Bobocabin Coban Rondo Malang
Rommy Bara,5.0,,2 months,Bobocabin Coban Rondo Malang
April R,5.0,,2 months,Bobocabin Coban Rondo Malang
wilza anastasia akay,5.0,,2 months,Bobocabin Coban Rondo Malang
Adrian Rifqi,5.0,,2 months,Bobocabin Coban Rondo Malang
Nova Dhila,5.0,,2 months,Bobocabin Coban Rondo Malang
Ekawati Purnomo,5.0,,2 months,Bobocabin Coban Rondo Malang
ming zen,5.0,"Terbaik
Cocok untuk healing
Udara mantap …",3 months,Bobocabin Coban Rondo Malang
Eric Nitiutomo,5.0,"Pengalaman yang menyenangkan, cocok untuk pelarian singkat ke luar kota.

Parkir agak sempit, tapi masih bisa dikendalikan.",3 months,Bobocabin Coban Rondo Malang
白杉,5.0,Kami adalah penggemar Bobocabin!!! Lokasi bagus! Pemandangan yang indah!,3 months,Bobocabin Coban Rondo Malang
Raymond,5.0,"Kamarnya kecil, tidak apa-apa. Tempat tidurnya cukup keras.
Suasana luar biasa dan layanan staf. …",3 months,Bobocabin Coban Rondo Malang
Aldi Ramadiansyah,5.0,"Back to nature , ambience yg sangat seru dengan konsep menyatu dengan alam",3 months,Bobocabin Coban Rondo Malang
sashiamisha sashiamisha,5.0,,3 months,Bobocabin Coban Rondo Malang
Gunadi Kr,5.0,,3 months,Bobocabin Coban Rondo Malang
gerandis,4.0,"Berada di dalam area wisata air terjun coba rondo, penginapan ala glamping ini menawarkan suasana hutan pinus dan pemandangan Kota Batu di kejauhan. Karena berada di area wisata, jadi untuk masuk mesti bayar tiket sebesar 25K/org. Tentunya …",3 months,Bobocabin Coban Rondo Malang
Kevin Harrywan,5.0,,4 months,Bobocabin Coban Rondo Malang
Hennyjasmine jasmnine,3.0,Mohon untuk jam sarapan nya terlalu telat untuk jam 8 pagi...seharus nya start jam 7 ..krn pasti banyak yg bgn pagi juga kan ..,4 months,Bobocabin Coban Rondo Malang
Diana Chandra,5.0,"Saya selalu menyukai hutan, kabut, dan hujan, dan Bobocabin Coban Rondo sempurna. Ketika saya pergi ke sana, saya langsung jatuh cinta padanya. Suasananya seperti berada di hutan ajaib, dan serasa terputus dari dunia luar. …",4 months,Bobocabin Coban Rondo Malang
amal fira,5.0,"Ekspektasi saya menginap disini memang lebih kembali ke alam, jadi kalau ada serangga macam lebah atau lalat tiba² masuk kamar saya maklum. Staff²nya ramah dan helpful, tapi sepertinya agak sulit menghubungi staff kalau di atas jam 9 malam. …",4 months,Bobocabin Coban Rondo Malang
Sulam Alis Vinabrows,4.0,Saya sudah  2x kesini saya suka tempatnya apalagi pekerja speerti saya tpi yg kedua ini saya tidak suka karena celah2 nya kotor apalagi sperti sama alergi debu dan ank saya harusnya di celah2 di bersihkan …,4 months,Bobocabin Coban Rondo Malang
Aldo Adela Personal,4.0,"Unik banget konsep nya
Smartroom
Dan pemandangannya bagus",4 months,Bobocabin Coban Rondo Malang
Bambang eko Prabowo,5.0,"Kamar yang rapi, modern dan hangat dipadukan dengan Suasana alam yang sejuk pemandangan yang indah..",4 months,Bobocabin Coban Rondo Malang
Dinda Ayu,5.0,,5 months,Bobocabin Coban Rondo Malang
ADAM HAWA CITY TOUR,5.0,Suasana malam yg indah,5 months,Bobocabin Coban Rondo Malang
Ichsan Pratama (Ichsan),5.0,"Bermalam disini untuk kado istri ulang tahun, viewnya keren!",5 months,Bobocabin Coban Rondo Malang
Maudi Oc,5.0,"Tempat bagus buat healing, dapet sarapan dgn view baguuuuuus bnget 👍👍👍 …",5 months,Bobocabin Coban Rondo Malang
Elma Amalia,5.0,"Penginapan yang posisi nya bagus banget menghadap ke view gunung👍🏻
Puas banget dengan nginep disini sayangnya cuma semalam aja kurang lama😭
Mungkin lebih ditingkatkan di area parkir nya yang terlalu jauh dari penginapannya, overall worth it sekali untuk healing sambil liat gunung! …",5 months,Bobocabin Coban Rondo Malang
ajeng Dian,5.0,,5 months,Bobocabin Coban Rondo Malang
delistyo wahono,5.0,,5 months,Bobocabin Coban Rondo Malang
Muhammad Ikhwanto,3.0,,5 months,Bobocabin Coban Rondo Malang
Alfain Januar,5.0,,5 months,Bobocabin Coban Rondo Malang
Nursianto Akbar,5.0,,5 months,Bobocabin Coban Rondo Malang
Stefano Calvin,5.0,"Salah 1 hotel yg cukup unik dengan konsep kabin dan menggabungkannya dengan IoT, sehingga terlihat futuristis. Untuk kamar yg deluxe cukup kecil dan viewnya kurang. Sedangkan kamar eksekutifnya rekomen banget, kamarnya luas muat sampai 4 …",5 months,Bobocabin Coban Rondo Malang
Viona Aprilia,5.0,,5 months,Bobocabin Coban Rondo Malang
Avid Anjala,4.0,Tempat yang tenang dan cocok untuk staycation,5 months,Bobocabin Coban Rondo Malang
Laurensius Emmanuel mi8lite,5.0,"Viewnya sangat Bagus ! Hotel konsep Glamping, Bersih, dan Pelayanan Baik.",5 months,Bobocabin Coban Rondo Malang
Trip.com Member,5.0,Pemandangan yang bagus,5 months,Bobocabin Coban Rondo Malang
mareto nagakarsa,5.0,,6 months,Bobocabin Coban Rondo Malang
Monica Christiani,4.0,"Pertama kali datang ke sini setelah mendengar rekomendasi teman. Pemandangannya sangat bagus karena menghadap langsung ke pegunungan. Kabin ini terletak di antara pepohonan pinus, yang sangat menawan. Itu juga menggunakan aplikasi untuk kunci kamar / suasana / …",6 months,Bobocabin Coban Rondo Malang
Anton K.,5.0,Saat saya kesana karyawan di lapangan sangat terbatas. Mau minta tolong jadi kasihan karena mereka mondar-mandir tidak berhenti. Mungkin management bisa hitung lagi kebutuhan karyawan terutama di saat cabin lagi full.,6 months,Bobocabin Coban Rondo Malang
Didik Basuki,3.0,"Pelayanan yg buruk.
Pesan BBQ dan Steam boat untuk 35 orang. Cuma ada 10 piring dan 5 mangkuk. Minta ditambahin piring & mangkuk gak ada. …",6 months,Bobocabin Coban Rondo Malang
Karen Mulyate,4.0,,6 months,Bobocabin Coban Rondo Malang
Suherman Yacob,5.0,"Mantap
Tempatnya oke banget,pemandangannya amazing banget,suasana nya juga sangat tenang dan dingin …",6 months,Bobocabin Coban Rondo Malang
Kaisar Fauziansyah,5.0,Muantappp bgt,6 months,Bobocabin Coban Rondo Malang
eka febriyanti,5.0,,6 months,Bobocabin Coban Rondo Malang
fathur rahman,5.0,"Serru banget stay di sini. Menyatu dengan alam. Cocok banget buat liburan bareng kluarga, Dinginnya jg dapet. Jangan lupa bawa buju hangat dan stok makan.",6 months,Bobocabin Coban Rondo Malang
A. Khoirul Fathoni,5.0,"Mantab
Bagus",6 months,Bobocabin Coban Rondo Malang
Elizabeth Muljate,5.0,Semuanya bagus..kecuali lalat nya..,6 months,Bobocabin Coban Rondo Malang
Bopesnya Kecil,5.0,bagus tgl tempat parkir yg blm di aspal,6 months,Bobocabin Coban Rondo Malang
vannia isyrofi,4.0,Kekurangannya hanya kurang variasi makanan dengan harga yg mahal,6 months,Bobocabin Coban Rondo Malang
Rafita Apria,5.0,,7 months,Bobocabin Coban Rondo Malang
Ragil Nugroho,5.0,"Mantab bgt pokoknya staycation disini, tempatnya syahdu dan hidden gem bgt. Oiya klo baru pertama kali kesini bawa mobil pribadi jgn langsung ke pintu masuk ya soalnya jalannya kecil cm muat 1 mobil doang, jdi pake mini safari car yg disediain pihak hotel bobocabin.",7 months,Bobocabin Coban Rondo Malang
Rizky Kurniawan,5.0,,7 months,Bobocabin Coban Rondo Malang
Abdul Muntolib,5.0,,7 months,Bobocabin Coban Rondo Malang
Kulineryuk_ Makanjalan,5.0,Patut di coba untuk mencari sensasi staycation yang berbeda. Area menyatu dengan alam..  view perkotaan kota batu dan gunung arjuno welirang. Terbaik..,7 months,Bobocabin Coban Rondo Malang
delphineeum,5.0,"Pengalaman glamping yang luar biasa. Pelayanan 24 jam dan cukup responsif. Suara jangkrik, angin hutan, dan pemandangan kota dari atas merupakan terapi untuk pelarian yang manis. Fasilitas & aplikasi berteknologi tinggi sangat membantu rasa aman di kawasan + menambah suasana berbeda …",7 months,Bobocabin Coban Rondo Malang
Wahyu Aprilyandi,5.0,Mantap sekali,7 months,Bobocabin Coban Rondo Malang
Jhevando Rafael Subiantoro,5.0,,7 months,Bobocabin Coban Rondo Malang
ogi jody putra,1.0,"Staf tidak bertanggung jawab & tidak fokus saat membantu memarkirkan sehingga mbil saya menabrak pohon, tdk ad kata maaf malah mengelak karna diajak bicara staf lain. Mau kiburan jadi kecewa",7 months,Bobocabin Coban Rondo Malang
Gabby —-,5.0,,7 months,Bobocabin Coban Rondo Malang
Shita Dewi,5.0,"Membuat kesalahan dengan tiba setelah gelap. Kabutnya sangat tebal, kami berkendara dengan sangat lambat. Ini hanya satu jalan mobil, jadi harap berhati-hati. …",7 months,Bobocabin Coban Rondo Malang
Yuko Gunawan,5.0,lumayan,8 months,Bobocabin Coban Rondo Malang
priscilia d,5.0,"Suasananya sangat bagus, tetapi kamarnya agak kecil untuk rombongan 3 orang, ayah ibu dan 1 anak. Saya sarankan untuk memesan kamar terbesar. Tapi secara keseluruhan tempat, cuaca, suasananya sangat bagus. Tempat sempurna untuk musim panas dan menghabiskan akhir pekan bersama teman-teman.",8 months,Bobocabin Coban Rondo Malang
capledot politon,5.0,Enak untuk bersantai,8 months,Bobocabin Coban Rondo Malang
Dyan Mustika,5.0,,8 months,Bobocabin Coban Rondo Malang
Tiyas Suryandari,5.0,,8 months,Bobocabin Coban Rondo Malang
luth fi,5.0,"Alhamdulillah akhirnya kesampean nginep disini, overall suka...
Sekedar masukan mudah mudahan kedepannya kasurnya bisa lebih empuk 🙏
Barangkali bisa di tambahkan lagi musholla umum di sekitaran lobby 🙏 …",8 months,Bobocabin Coban Rondo Malang
Fitriani Marzuki,5.0,"Asiik banget healing disini, sepi, adeeem, view nya cakeep.
Kamar nya bagus, toilet bagus bersih lengkap. BBQ bareng temen2, recommend ini",8 months,Bobocabin Coban Rondo Malang
Langsir Md,4.0,,8 months,Bobocabin Coban Rondo Malang
Adityawarman Arioseno,5.0,,8 months,Bobocabin Coban Rondo Malang
Richa Cats,5.0,,8 months,Bobocabin Coban Rondo Malang
Naldo Lie,4.0,"Kebersihan kamar kurang, baru masuk udah ada serangga mati di dinding. Pintu shower sliding nya rusak. Overall ya 3.5/5. Kamarnya sih lumayan high-tech karena semua sudah based on phone melalui aplikasi.",8 months,Bobocabin Coban Rondo Malang
Michael Alexander,3.0,Ini memiliki kabin kecil. Tidak ada yang istimewa untuk ruangan itu. Layanannya juga tidak. Tidak ada kegiatan yang dapat dilakukan di kawasan tersebut (kecuali api unggun dan memasak sendiri) karena kecilnya total luas kawasan yang dikelola. …,8 months,Bobocabin Coban Rondo Malang
SANGKHOLIL,5.0,"Di coba guys,siiip pokoke",9 months,Bobocabin Coban Rondo Malang
yola efelyona,5.0,,9 months,Bobocabin Coban Rondo Malang
Rudy Kristian,3.0,,9 months,Bobocabin Coban Rondo Malang
Nur Rohmah,4.0,"Cukup indah dan menyenangkan lokasinya. Pemandangan bagus dilihat dr lokasi ini. Hawanya dingin, cocok utk acara camping keluarga.",9 months,Bobocabin Coban Rondo Malang
Rezky Mulyana,5.0,,9 months,Bobocabin Coban Rondo Malang
Willy Setyobudi,4.0,"Tempat yang bagus untuk pemandangan kota Batu yang menakjubkan. Tempatnya terpencil dan cukup sulit diakses. Kamarnya kecil dan dilengkapi dengan perangkat pintar. Tidak mencoba barbekyu, jika mau, Anda bisa memesannya satu jam sebelumnya. Satu hal …",9 months,Bobocabin Coban Rondo Malang
Tony Kwan,5.0,Unik !!!,9 months,Bobocabin Coban Rondo Malang
Shienny Yang,5.0,,9 months,Bobocabin Coban Rondo Malang
Tio Dwiki,5.0,"Cabin dipadu dengan teknologi, pengalaman yang memuaskan, hanya saja akses parkir mobil agak susah karena jauh dengan cabin",9 months,Bobocabin Coban Rondo Malang
Ahmad Bayu,3.0,,9 months,Bobocabin Coban Rondo Malang
Welly Azhar,4.0,"View nya bagus sekali cocok untuk keluarga dan bisnis, recomended",9 months,Bobocabin Coban Rondo Malang
Mega Putri Wulandari,4.0,"pemandangannya indah, suasana asri, banyak wahana yang bisa dicoba",9 months,Bobocabin Coban Rondo Malang
