nama,bintang,komentar,Waktu,Place name,clean_text
Fikri Ardian,5.0,"I had a very satisfying stay at this cabin. The facilities provided are excellent and cater to all my needs. The service from the hotel staff is very friendly and professional; they are always ready to assist quickly and efficiently. Additionally, the cleanliness of the hotel is impeccable, from the rooms to the common areas. I highly recommend this hotel to anyone looking for a comfortable and high-quality place to stay",a week,Bobocabin Baturraden Purwokerto,"i had a very satisfying stay at this cabin. the facilities provided are excellent and cater to all my needs. the service from the hotel staff is very friendly and professional; they are always ready to assist quickly and efficiently. additionally, the cleanliness of the hotel is impeccable, from the rooms to the common areas. i highly recommend this hotel to anyone looking for a comfortable and high-quality place to stay"
vira fitri zulaikha,5.0,"Mantap bangett sih view nya udaranya , udah kaya dapat oksigen gratis",a week,Bobocabin Baturraden Purwokerto,"mantap banget sih view nya udaranya , sudah kayak dapat oksigen gratis"
Ricky Zulfandi,5.0,"Took me around 8 hours drive from Jakarta. At first, I thought its just a glamping but I was stunned when I found it was a high tech modern cabin in the center of forest of high trees with so much tranquility and comfort.

They have their own waterfall inside the area and we can also enjoy the botanical garden and interesting spots in the same area.",a week,Bobocabin Baturraden Purwokerto,"took me around 8 hours drive from jakarta. at first, i thought its just a glamping but i was stunned when i found it was a high tech modern cabin ini the center of forest of high trees with so much tranquility and comfort.  they have their own waterfall inside the area and we can also enjoy the botanical garden and interesting spots ini the same area."
Erwan Erwan,4.0,"Room nya cukup baik, klu bawa anak sih kurang cocok krn roomnya kecil banget dan tidak ada fasilitas tv, kawat nyamuk jendela ada yg sudak rusak, posisi ac tidak nyaman krn langsung kena tempat tidur",2 weeks,Bobocabin Baturraden Purwokerto,"room nya cukup baik, kalau bawa anak sih kurang cocok karena roomnya kecil banget dan tidak ada fasilitas tv, kawat nyamuk jendela ada yang sudak rusak, posisi ac tidak nyaman karena langsung kena tempat tidur"
Niki Ardhian,3.0,"Tidak bisa pilih room, tidak ada air isi ulang best cabin no 11 dan 34",2 weeks,Bobocabin Baturraden Purwokerto,"tidak bisa pilih room, tidak ada air isi ulang best cabin no 11 dan 34"
MUHAMMAD HAIKAL,5.0,"Sangat nyaman, canggih, pemandangan alam, bersih, semua serba teknologi, dari buka pintu hingga pembayaran. Jadi bagi yang mau berkunjung pastikan sudah download bobobox dan saldo sudah tercukupi.",3 weeks,Bobocabin Baturraden Purwokerto,"sangat nyaman, canggih, pemandangan alam, bersih, semua serba teknologi, dari buka pintu hingga pembayaran. jadi bagi yang mau berkunjung pastikan sudah download bobobox dan saldo sudah tercukupi."
dewi ida,5.0,"Diawali rasa penasaran tapi juga khawatir di saat bersamaan, aku & suami nekat aja booking akomodasi ini. Penasaran krn nggak biasa (di tengah hutan & unik cabinnya) & khawatir krn takutnya bakal bosan (aku bukan orang yg suka wisata alam hehe...).
Ternyata sampai lokasi, I was stunned. So cute, so calm, so serene, yet so modern.

Staycation + healing kali ini sukses banget. Thanks a lot Bobocabin Baturraden. Next cobain Bobocabin mana lagi ya? 😁",a month,Bobocabin Baturraden Purwokerto,"diawali rasa penasaran tapi juga khawatir di saat bersamaan, aku & suami nekat saja booking akomodasi ini. penasaran karena enggak biasa (di tengah hutan & unik cabinnya) & khawatir karena takutnya bakal bosan (aku bukan orang yang suka wisata alam hehe...). ternyata sampai lokasi, i was stunned. so cute, so calm, so serene, yet so modern.  staycation + healing kali ini sukses banget. thanks a lot bobocabin baturraden. next mencoba bobocabin mana lagi ya? 😁"
buat senang,5.0,kuntilanak nya banyak,a month,Bobocabin Baturraden Purwokerto,kuntilanak nya banyak
anshah lesmana,5.0,"Pengalaman yang menarik bangeet mutusin nginep disini, entah yah kalo Bobocabin lain tapi di Baturaden ini Vibes nya seruuu banget, bener bener di tengah hutan Pinusnya perhutani, adem, tenang beneran healing ❤️

Pagi tuh juga syahdu banget suasananya..

Soal cabin ya standar ya kalo ngarepin yg bagus banget ya engga, tapi nyaman iya kok nyaman even saya bawa 1 toodler dan 1 bayi merekaa nyaman ❤️
Toodler seneng bisa ganti2 lampu, ada efek suara dsb hihi hightech yah!

Ya cape naik aja sih wkwk

Ada curug dalam komplek bobocabin tapi ga kesana karena jalannya kurang kids friendly jadi cari curug lain hihi

Jalan ke komplek Bobocabinnya lumayan yaa jangan langsung malem sih kesini enak dari siang jadi tau medan hehe",a month,Bobocabin Baturraden Purwokerto,"pengalaman yang menarik banget memutuskan nginep disini, entah ya kalo bobocabin lain tapi di baturaden ini vibes nya seru banget, benar benar di tengah hutan pinusnya perhutani, adem, tenang benaran healing ❤️  pagi tuh juga syahdu banget suasananya..  soal cabin ya standar ya kalo ngarepin yang bagus banget ya enggak, tapi nyaman iya kok nyaman even saya bawa 1 toodler dan 1 bayi mereka nyaman ❤️ toodler senang bisa ganti2 lampu, ada efek suara dsb hihi hightech ya!  ya capek naik saja sih wkwk  ada curug dalam komplek bobocabin tapi enggak kesana karena jalannya kurang kids friendly jadi cari curug lain hihi  jalan ke komplek bobocabinnya lumayan ya jangan langsung malam sih kesini enak dari siang jadi tau medan hehe"
mia andromeda,3.0,"Self service menggunakan aplikasi Bobobox,
Berlokasi di dalam hutan, akses menuju bobocabin di malam hari gelap gulita

Btw akses ke bobocabin kudu bayar lagi di loket depan 25 rb per orang
Padahal udah bilang mau menginap di bobocabin 😌😌😌

Di dalam area bobocabin ada air terjun yg cantik sekali, tapi aksesnya gak aman buat anak kecil apalagi orangtua (tangga curam)

Dipan mohon maaf berdebu sekali 😁

Toilet cukup bersih
Apabila ingin makan malam di bobocabin bisa order melalui aplikasi bobobox (tapi harga cukup mahal ya)

Sarapan enak tp tidak bervariasi

Tidak ada hal lain yg bisa dilakukan disekitar selain jalan ke air terjun, jadi menurut saya kurang menarik apalagi dengan harga yg cukup mahal dan dipan yg berdebu 🙏🏻",a month,Bobocabin Baturraden Purwokerto,"self service menggunakan aplikasi bobobox, berlokasi di dalam hutan, akses menuju bobocabin di malam hari gelap gulita  btw akses ke bobocabin kudu bayar lagi di loket depan 25 ribu per orang padahal sudah bilang mau menginap di bobocabin 😌  di dalam area bobocabin ada air terjun yang cantik sekali, tapi aksesnya enggak aman buat anak kecil apalagi orangtua (tangga curam)  dipan mohon maaf berdebu sekali 😁  toilet cukup bersih apabila ingin makan malam di bobocabin bisa order melalui aplikasi bobobox (tapi harga cukup mahal ya)  sarapan enak tapi tidak bervariasi  tidak ada hal lain yang bisa dilakukan disekitar selain jalan ke air terjun, jadi menurut saya kurang menarik apalagi dengan harga yang cukup mahal dan dipan yang berdebu 🙏🏻"
nisya dillah,5.0,pasti kembali lagi,a month,Bobocabin Baturraden Purwokerto,pasti kembali lagi
Handi S,5.0,Kamarnya bersih. Ada jendela kaca lgsg hadap ke hutan pinus. Tmptnya dingin. Ada air terjun dekat sana. Recomended 👍👍,a month,Bobocabin Baturraden Purwokerto,kamarnya bersih. ada jendela kaca langsung hadap ke hutan pinus. tmptnya dingin. ada air terjun dekat sana. recomended 👍👍
rizky “putra” pratama,5.0,Tempat terbaik sepanjang liburan ❤️,a month,Bobocabin Baturraden Purwokerto,tempat terbaik sepanjang liburan ❤️
Aly Genzo,5.0,"lokasi ada didalam kebun raya baturaden,sangat mudah diakses,gajauh dsri pintu masuk baturaden via purwokerto.
suasana adem asri,enak buat istirahat.
pelayanan baik,ramah ramah,
kalo malem syahdu suara alamnya..
kalo siang bosen bisa jalan jalan ke curug,jalan 15 langsung sampai ke curug yang sangat bagus.",a month,Bobocabin Baturraden Purwokerto,"lokasi ada didalam kebun raya baturaden,sangat mudah diakses,gajauh dsri pintu masuk baturaden via purwokerto. suasana adem asri,enak buat istirahat. pelayanan baik,ramah ramah, kalo malam syahdu suara alamnya.. kalo siang bosan bisa jalan jalan ke curug,jalan 15 langsung sampai ke curug yang sangat bagus."
Yakup Toni,5.0,"Bobocabin Baturraden, Purwokerto
Bobocabin Stay...
Room : Cabin superbersih
Staff : ramah, cuman agak lama aja kalo kita rikues sesuatu..
Lokasi : Hutan Pinus..udara bersih.. tenang, cozy, bla bla bla...
Parkir ada dan luas,
Pokoknya ini :
""Stunning Location, Breathtaking Place, Cozy Place, Amazing Wilderness, Incredible air, Epic Place"".
Overall, 5⭐ + 5⭐ again for all the judges given....!!!!",a month,Bobocabin Baturraden Purwokerto,"bobocabin baturraden, purwokerto bobocabin stay. room : cabin superbersih staff : ramah, cuman agak lama saja kalo kita rikues sesuatu.. lokasi : hutan pinus..udara bersih.. tenang, cozy,   . parkir ada dan luas, pokoknya ini : ""stunning location, breathtaking place, cozy place, amazing wilderness, incredible air, epic place"". overall, 5⭐ + 5⭐ again for all the judges given.!"
anwar subianto,5.0,"Alhamdulillah, Pengalaman pertama merasakan dan menginap di Bobocabin.
Mungkin akan mencoba akomodasi sejenis di tempat lain",a month,Bobocabin Baturraden Purwokerto,"alhamdulillah, pengalaman pertama merasakan dan menginap di bobocabin. mungkin akan mencoba akomodasi sejenis di tempat lain"
FAN,5.0,Recommended lah,2 months,Bobocabin Baturraden Purwokerto,recommended lah
awan ganesha,5.0,Peaceful place to spend the weekend,2 months,Bobocabin Baturraden Purwokerto,peaceful place to spend the weekend
Aviani Dewi,5.0,Masuk untuk masuk ke curug.,2 months,Bobocabin Baturraden Purwokerto,masuk untuk masuk ke curug.
Debora Catur,4.0,"Tempat nya nyaman sunyi, vibes nya kaya hutan beneran, kamarnya bersih, deluxe cukup untuk 2 dewasa + 1 anak kecil
BBQ package jg ada buat seru seruan malem
Breakfast nya nasi goreng dan nasi kuning nya lumayan enak jg,
Sayang dapet cabin paling ujung jauh dari lobi pas bawa bocil agak repot
Ada Curug nya bagus dan ga jauh dr cabin, berasa private
Over All menyenangkan,

(-) jalan nya ke cabin cabin licin dan banyak lumut, di depan kamar pun juga
Saran untuk yang dari semarang nge maps langsung ke bobocabin, better ke purwokerto kota dulu karna kita kemarin lewat di tengah hutan 🙀 untung kita ke sana pagi jd ga begitu creepy",2 months,Bobocabin Baturraden Purwokerto,"tempat nya nyaman sunyi, vibes nya kayak hutan benaran, kamarnya bersih, deluxe cukup untuk 2 dewasa + 1 anak kecil bbq package juga ada buat seru seruan malam breakfast nya nasi goreng dan nasi kuning nya lumayan enak juga, sayang dapat cabin paling ujung jauh dari lobi pas bawa bocil agak repot ada curug nya bagus dan enggak jauh dari cabin, berasa private over all menyenangkan,  (-) jalan nya ke cabin cabin licin dan banyak lumut, di depan kamar pun juga saran untuk yang dari semarang nge maps langsung ke bobocabin, better ke purwokerto kota dulu karena kita kemarin lewat di tengah hutan 🙀 untung kita ke sana pagi jadi enggak begitu creepy"
Arifur Rahman,5.0,"Terletak di kawasan Wana Wisata Baturraden, Opsi Wisata lain gak jauh dari lokasi ini. Ada curug Tirta Sela",2 months,Bobocabin Baturraden Purwokerto,"terletak di kawasan wana wisata baturraden, opsi wisata lain enggak jauh dari lokasi ini. ada curug tirta sela"
Pandu Wibowo,5.0,"Tempat yg cocok untuk kembali ke alam. Tenang dan sunyi, hanya suara alam. Mengeratkan kembali ikatan keluarga di tengah alam sambil menghabiskan waktu bersama",2 months,Bobocabin Baturraden Purwokerto,"tempat yang cocok untuk kembali ke alam. tenang dan sunyi, hanya suara alam. mengeratkan kembali ikatan keluarga di tengah alam sambil menghabiskan waktu bersama"
Uliek Mandiri,2.0,"The ambience was great, quite, clear air. The room was comfortable and set up with smart home equipment. Too bad the service was poor. I ordered indomie from one of their menu which according to the staff’s information during check in will be sub-coned to local people. After in total 2,5 hrs waiting, chat the staff through their app, sent my sons to check with staff, went together with hubby to meet the staff.. my chat went unanswered and the indomie never came. Finally at 7pm we decided to go outside to have our dinner. Our stay experience could have been great, if only the host put more attention to their service quality.",3 months,Bobocabin Baturraden Purwokerto,"the ambience was great, quite, clear air. the room was comfortable and set up with smart home equipment. too bad the service was poor. i ordered indomie from one of their menu which according to the staff’s information during check ini will be sub-coned to local people. after ini total 2,5 harus waiting, chat the staff through their app, sent my sons to check with staff, went together with hubby to meet the staff.. my chat went unanswered and the indomie never came. finally at 7pm we decided to go outside to have our dinner. our stay experience could have been great, if only the host put more attention to their service quality."
Julisa Then,5.0,Keren konsepnya... Serba digitalisasi,3 months,Bobocabin Baturraden Purwokerto,keren konsepnya. serba digitalisasi
Rahmat Juwanto,5.0,Bagus,3 months,Bobocabin Baturraden Purwokerto,bagus
Moez,5.0,"Everything was superb
Just input for further improvement, need a stronger wifi signal 😁",3 months,Bobocabin Baturraden Purwokerto,"everything was superb just input for further improvement, need a stronger wifi signal 😁"
Rani Rdm,5.0,"Sangat Private ,, jauh dari keramaian kota. Service Ok ,, Cabin bersih, air panas lancar tidak ada kendala . Sarapan juga enak ( nasi goreng dan nasi kuning ). Akses sangat mudah

💕 untuk review lengkapnya bisa dilihat di Youtube Ricky Farici ya 🥰",4 months,Bobocabin Baturraden Purwokerto,"sangat private ,, jauh dari keramaian kota. service ok ,, cabin bersih, air panas lancar tidak ada kendala . sarapan juga enak ( nasi goreng dan nasi kuning ). akses sangat mudah  💕 untuk review lengkapnya bisa dilihat di youtube ricky farici ya 🥰"
krisno dwi raharjo,4.0,"Menyatu dengan hutan, tatanan kamar compact, sound system dan pencahayaan dalam kamar membuat semakin nyaman",4 months,Bobocabin Baturraden Purwokerto,"menyatu dengan hutan, tatanan kamar compact, sound system dan pencahayaan dalam kamar membuat semakin nyaman"
kangmas faturi,1.0,Jelek buanget pelayananya... tidak bisa refund maupun rescedul. Apalagi kalau weekend tidak bisa diandalkan...,4 months,Bobocabin Baturraden Purwokerto,jelek banget pelayananya. tidak bisa refund maupun rescedul. apalagi kalau weekend tidak bisa diandalkan.
Muchamad Fatchuri,1.0,Tidak bisa rescedul maupun refund... jelek buanget pelayanannya.. apalagi kalau weekend tidak bisa diandalkan.,4 months,Bobocabin Baturraden Purwokerto,tidak bisa rescedul maupun refund. jelek banget pelayanannya.. apalagi kalau weekend tidak bisa diandalkan.
Aprilia Fajriati,5.0,"Tempat refreshing yg nyaman, udaranya ok, bisa ke air terjun yg berasa milik pribadi, suasananya enak, service nya ok, amenities juga lengkap. Aksesnya juga mudah. Harus cobain sih tidur ditengah hutan ❤️ waktu itu ada promo jd cuma kena di rate 500k/night",4 months,Bobocabin Baturraden Purwokerto,"tempat refreshing yang nyaman, udaranya ok, bisa ke air terjun yang berasa milik pribadi, suasananya enak, service nya ok, amenities juga lengkap. aksesnya juga mudah. harus mencoba sih tidur ditengah hutan ❤️ waktu itu ada promo jadi cuma kena di rate 500k/night"
Mila myela,5.0,"Kamar bersih dan fasilitas ok
Makanannya pun juga enak. Ga jauh dari situ ada curug.
Mohon untuk kebersihan lebih dijaga, tempat makan bersama dan jalan2nya banyak dedaunan yg sepertinya sudah berhari2 tidak disapu, batang2 pohon yg ditebang juga tergeletak begitu saja ga dirapikan.",4 months,Bobocabin Baturraden Purwokerto,"kamar bersih dan fasilitas ok makanannya pun juga enak. enggak jauh dari situ ada curug. mohon untuk kebersihan lebih dijaga, tempat makan bersama dan jalan2nya banyak dedaunan yang sepertinya sudah berhari2 tidak disapu, batang2 pohon yang ditebang juga tergeletak begitu saja enggak dirapikan."
Moch. Iqbal Kurniawan,5.0,Amazing,5 months,Bobocabin Baturraden Purwokerto,amazing
unknown,5.0,Mantaappp 👍👍👍,5 months,Bobocabin Baturraden Purwokerto,mantap 👍
Leni aiai,5.0,Keren,5 months,Bobocabin Baturraden Purwokerto,keren
Andini Nur Wahyuning Putri,5.0,for people who love quiet places... this hotel is very recommended!,5 months,Bobocabin Baturraden Purwokerto,for people who love quiet places. this hotel is very recommended!
Terang Abadi,5.0,"Refreshing disini cukup nyaman, ada fasilitas api unggun, (arang berbayar) air terjun dalam lokasi (namun menuju lokasi agak ekstrem naik turun dan licin) tapi bagus banget masih asri...

Kamar bagus dan bersih, modern dengan musik dan lampu yang keren bisa disetting sesuai pilihan.

Lokasi didalam tempat wisata jadi harus bayar masuknya... include kebun dan pencuran air hangat.

Suasana masih hutan hijau segar kalau malam sunyi senyap.",5 months,Bobocabin Baturraden Purwokerto,"refreshing disini cukup nyaman, ada fasilitas api unggun, (arang berbayar) air terjun dalam lokasi (namun menuju lokasi agak ekstrem naik turun dan licin) tapi bagus banget masih asri.  kamar bagus dan bersih, modern dengan musik dan lampu yang keren bisa disetting sesuai pilihan.  lokasi didalam tempat wisata jadi harus bayar masuknya. include kebun dan pencuran air hangat.  suasana masih hutan hijau segar kalau malam sunyi senyap."
Dian Nugroho,5.0,"Sangat sangat rekomen untuk dicoba tidur di tengah hutan. Bener bener healing, air terjunya sangat indah dan bisa untuk berenang",6 months,Bobocabin Baturraden Purwokerto,"sangat sangat rekomen untuk dicoba tidur di tengah hutan. benar benar healing, air terjunya sangat indah dan bisa untuk berenang"
jaka wiradinata,4.0,Nice modern cabin experience,6 months,Bobocabin Baturraden Purwokerto,nice modern cabin experience
Rajeendra Anthuryo,5.0,the place was beautiful,6 months,Bobocabin Baturraden Purwokerto,the place was beautiful
Rama Adinugraha,5.0,"Tempatnya asik, cukup dingin, punya Curug yg private khusus untuk bobo cabin, jdnya enak.. Malemnya bisa pesen barbequean, cocok bgt buat staycation disini, ga sia2 jauh2 dr bandung kesini..",6 months,Bobocabin Baturraden Purwokerto,"tempatnya asik, cukup dingin, punya curug yang private khusus untuk bobo cabin, jdnya enak.. malemnya bisa pesan barbequean, cocok banget buat staycation disini, enggak sia2 jauh2 dari bandung kesini.."
Lingga Arrum,5.0,"Pengalaman menginap yang sangat luar biasa. Benar-benar rekomendasi banget buat yang mau istirahat dari bisingnya perkotaan. Walaupun menuju kabin melewati banyak anak tangga tapi cukup kids friendly. Saya bawa anak 1,5 th dan 3 thn mereka happy banget.",6 months,Bobocabin Baturraden Purwokerto,"pengalaman menginap yang sangat luar biasa. benar-benar rekomendasi banget buat yang mau istirahat dari bisingnya perkotaan. walaupun menuju kabin melewati banyak anak tangga tapi cukup kids friendly. saya bawa anak 1,5 tahu dan 3 tahun mereka happy banget."
Tahanan KPK,5.0,Nyaman serasa di kampung,6 months,Bobocabin Baturraden Purwokerto,nyaman serasa di kampung
hery sehastian,5.0,Pegalaman menginap disini itu tenang dan damai. Karena dikawasan baturraden jadi selama menginap disini bs melakukan banyak kegiatan,6 months,Bobocabin Baturraden Purwokerto,pegalaman menginap disini itu tenang dan damai. karena dikawasan baturraden jadi selama menginap disini bisa melakukan banyak kegiatan
Hany Kristinawati,5.0,"Saran saya jangan ikutin gmap soalnya akan diputer puterin ke jalan kecil,mendingan nanya orang sekitar buat lewat jalan utama menuju baturaden,bobocabinnya searah dengan wanawisata baturaden",6 months,Bobocabin Baturraden Purwokerto,"saran saya jangan mengikuti gmap soalnya akan diputer puterin ke jalan kecil,mendingan bertanya orang sekitar buat lewat jalan utama menuju baturaden,bobocabinnya searah dengan wanawisata baturaden"
