nama,bintang,komentar,Waktu,Place name
Slamet Nugroho,5.0,"kamarnya super nyaman, tempat sejuk cocok banget buat yang pengin liburan sama keluarga,teman, apa sama pasangan, dan tempatnya berada di area kebun Raya Baturraden dekat dengan wisata seperti pancuran 7 dan di didalem area bobocabin ada curug yang bagus banget tempatnya enak banget buat nongkrong. terus pas malem kita bisa pesen BBQ an jadi buat yang mau nginep gak usah khawatir karna banyak pilihan menu BBQ nya😍",a week,Bobocabin Baturraden Purwokerto
Fikri Ardian,5.0,"I had a very satisfying stay at this cabin. The facilities provided are excellent and cater to all my needs. The service from the hotel staff is very friendly and professional; they are always ready to assist quickly and efficiently. Additionally, the cleanliness of the hotel is impeccable, from the rooms to the common areas. I highly recommend this hotel to anyone looking for a comfortable and high-quality place to stay",a week,Bobocabin Baturraden Purwokerto
vira fitri zulaikha,5.0,"Mantap bangett sih view nya udaranya , udah kaya dapat oksigen gratis",a week,Bobocabin Baturraden Purwokerto
Vaqih Cadel,5.0,,a week,Bobocabin Baturraden Purwokerto
Ricky Zulfandi,5.0,"Took me around 8 hours drive from Jakarta. At first, I thought its just a glamping but I was stunned when I found it was a high tech modern cabin in the center of forest of high trees with so much tranquility and comfort.

They have their own waterfall inside the area and we can also enjoy the botanical garden and interesting spots in the same area.",a week,Bobocabin Baturraden Purwokerto
Tommy Widjaya,5.0,,a week,Bobocabin Baturraden Purwokerto
Erwan Erwan,4.0,"Room nya cukup baik, klu bawa anak sih kurang cocok krn roomnya kecil banget dan tidak ada fasilitas tv, kawat nyamuk jendela ada yg sudak rusak, posisi ac tidak nyaman krn langsung kena tempat tidur",2 weeks,Bobocabin Baturraden Purwokerto
Henzo,5.0,,2 weeks,Bobocabin Baturraden Purwokerto
Niki Ardhian,3.0,"Tidak bisa pilih room, tidak ada air isi ulang best cabin no 11 dan 34",2 weeks,Bobocabin Baturraden Purwokerto
MUHAMMAD HAIKAL,5.0,"Sangat nyaman, canggih, pemandangan alam, bersih, semua serba teknologi, dari buka pintu hingga pembayaran. Jadi bagi yang mau berkunjung pastikan sudah download bobobox dan saldo sudah tercukupi.",3 weeks,Bobocabin Baturraden Purwokerto
dewi ida,5.0,"Diawali rasa penasaran tapi juga khawatir di saat bersamaan, aku & suami nekat aja booking akomodasi ini. Penasaran krn nggak biasa (di tengah hutan & unik cabinnya) & khawatir krn takutnya bakal bosan (aku bukan orang yg suka wisata alam hehe...).
Ternyata sampai lokasi, I was stunned. So cute, so calm, so serene, yet so modern.

Staycation + healing kali ini sukses banget. Thanks a lot Bobocabin Baturraden. Next cobain Bobocabin mana lagi ya? 😁",a month,Bobocabin Baturraden Purwokerto
buat senang,5.0,kuntilanak nya banyak,a month,Bobocabin Baturraden Purwokerto
anshah lesmana,5.0,"Pengalaman yang menarik bangeet mutusin nginep disini, entah yah kalo Bobocabin lain tapi di Baturaden ini Vibes nya seruuu banget, bener bener di tengah hutan Pinusnya perhutani, adem, tenang beneran healing ❤️

Pagi tuh juga syahdu banget suasananya..

Soal cabin ya standar ya kalo ngarepin yg bagus banget ya engga, tapi nyaman iya kok nyaman even saya bawa 1 toodler dan 1 bayi merekaa nyaman ❤️
Toodler seneng bisa ganti2 lampu, ada efek suara dsb hihi hightech yah!

Ya cape naik aja sih wkwk

Ada curug dalam komplek bobocabin tapi ga kesana karena jalannya kurang kids friendly jadi cari curug lain hihi

Jalan ke komplek Bobocabinnya lumayan yaa jangan langsung malem sih kesini enak dari siang jadi tau medan hehe",a month,Bobocabin Baturraden Purwokerto
mia andromeda,3.0,"Self service menggunakan aplikasi Bobobox,
Berlokasi di dalam hutan, akses menuju bobocabin di malam hari gelap gulita

Btw akses ke bobocabin kudu bayar lagi di loket depan 25 rb per orang
Padahal udah bilang mau menginap di bobocabin 😌😌😌

Di dalam area bobocabin ada air terjun yg cantik sekali, tapi aksesnya gak aman buat anak kecil apalagi orangtua (tangga curam)

Dipan mohon maaf berdebu sekali 😁

Toilet cukup bersih
Apabila ingin makan malam di bobocabin bisa order melalui aplikasi bobobox (tapi harga cukup mahal ya)

Sarapan enak tp tidak bervariasi

Tidak ada hal lain yg bisa dilakukan disekitar selain jalan ke air terjun, jadi menurut saya kurang menarik apalagi dengan harga yg cukup mahal dan dipan yg berdebu 🙏🏻",a month,Bobocabin Baturraden Purwokerto
Angling Kusumo,5.0,,a month,Bobocabin Baturraden Purwokerto
nisya dillah,5.0,pasti kembali lagi,a month,Bobocabin Baturraden Purwokerto
Hasta Gutama,5.0,,a month,Bobocabin Baturraden Purwokerto
Handi S,5.0,Kamarnya bersih. Ada jendela kaca lgsg hadap ke hutan pinus. Tmptnya dingin. Ada air terjun dekat sana. Recomended 👍👍,a month,Bobocabin Baturraden Purwokerto
rizky “putra” pratama,5.0,Tempat terbaik sepanjang liburan ❤️,a month,Bobocabin Baturraden Purwokerto
Aly Genzo,5.0,"lokasi ada didalam kebun raya baturaden,sangat mudah diakses,gajauh dsri pintu masuk baturaden via purwokerto.
suasana adem asri,enak buat istirahat.
pelayanan baik,ramah ramah,
kalo malem syahdu suara alamnya..
kalo siang bosen bisa jalan jalan ke curug,jalan 15 langsung sampai ke curug yang sangat bagus.",a month,Bobocabin Baturraden Purwokerto
Yakup Toni,5.0,"Bobocabin Baturraden, Purwokerto
Bobocabin Stay...
Room : Cabin superbersih
Staff : ramah, cuman agak lama aja kalo kita rikues sesuatu..
Lokasi : Hutan Pinus..udara bersih.. tenang, cozy, bla bla bla...
Parkir ada dan luas,
Pokoknya ini :
""Stunning Location, Breathtaking Place, Cozy Place, Amazing Wilderness, Incredible air, Epic Place"".
Overall, 5⭐ + 5⭐ again for all the judges given....!!!!",a month,Bobocabin Baturraden Purwokerto
anwar subianto,5.0,"Alhamdulillah, Pengalaman pertama merasakan dan menginap di Bobocabin.
Mungkin akan mencoba akomodasi sejenis di tempat lain",a month,Bobocabin Baturraden Purwokerto
FAN,5.0,Recommended lah,2 months,Bobocabin Baturraden Purwokerto
awan ganesha,5.0,Peaceful place to spend the weekend,2 months,Bobocabin Baturraden Purwokerto
Winarso Rimba,5.0,,2 months,Bobocabin Baturraden Purwokerto
Aviani Dewi,5.0,Masuk untuk masuk ke curug.,2 months,Bobocabin Baturraden Purwokerto
Debora Catur,4.0,"Tempat nya nyaman sunyi, vibes nya kaya hutan beneran, kamarnya bersih, deluxe cukup untuk 2 dewasa + 1 anak kecil
BBQ package jg ada buat seru seruan malem
Breakfast nya nasi goreng dan nasi kuning nya lumayan enak jg,
Sayang dapet cabin paling ujung jauh dari lobi pas bawa bocil agak repot
Ada Curug nya bagus dan ga jauh dr cabin, berasa private
Over All menyenangkan,

(-) jalan nya ke cabin cabin licin dan banyak lumut, di depan kamar pun juga
Saran untuk yang dari semarang nge maps langsung ke bobocabin, better ke purwokerto kota dulu karna kita kemarin lewat di tengah hutan 🙀 untung kita ke sana pagi jd ga begitu creepy",2 months,Bobocabin Baturraden Purwokerto
Wendy Ramdani,5.0,,2 months,Bobocabin Baturraden Purwokerto
Arifur Rahman,5.0,"Terletak di kawasan Wana Wisata Baturraden, Opsi Wisata lain gak jauh dari lokasi ini. Ada curug Tirta Sela",2 months,Bobocabin Baturraden Purwokerto
LS Mahardhika,5.0,,2 months,Bobocabin Baturraden Purwokerto
Pandu Wibowo,5.0,"Tempat yg cocok untuk kembali ke alam. Tenang dan sunyi, hanya suara alam. Mengeratkan kembali ikatan keluarga di tengah alam sambil menghabiskan waktu bersama",2 months,Bobocabin Baturraden Purwokerto
chandra dedi,5.0,,2 months,Bobocabin Baturraden Purwokerto
Uliek Mandiri,2.0,"The ambience was great, quite, clear air. The room was comfortable and set up with smart home equipment. Too bad the service was poor. I ordered indomie from one of their menu which according to the staff’s information during check in will be sub-coned to local people. After in total 2,5 hrs waiting, chat the staff through their app, sent my sons to check with staff, went together with hubby to meet the staff.. my chat went unanswered and the indomie never came. Finally at 7pm we decided to go outside to have our dinner. Our stay experience could have been great, if only the host put more attention to their service quality.",3 months,Bobocabin Baturraden Purwokerto
Julisa Then,5.0,Keren konsepnya... Serba digitalisasi,3 months,Bobocabin Baturraden Purwokerto
Rahmat Juwanto,5.0,Bagus,3 months,Bobocabin Baturraden Purwokerto
RAP,5.0,,3 months,Bobocabin Baturraden Purwokerto
Moez,5.0,"Everything was superb
Just input for further improvement, need a stronger wifi signal 😁",3 months,Bobocabin Baturraden Purwokerto
Lucky Marmer,5.0,,4 months,Bobocabin Baturraden Purwokerto
Winat Wiguna,4.0,,4 months,Bobocabin Baturraden Purwokerto
Yunita,5.0,,4 months,Bobocabin Baturraden Purwokerto
Rani Rdm,5.0,"Sangat Private ,, jauh dari keramaian kota. Service Ok ,, Cabin bersih, air panas lancar tidak ada kendala . Sarapan juga enak ( nasi goreng dan nasi kuning ). Akses sangat mudah

💕 untuk review lengkapnya bisa dilihat di Youtube Ricky Farici ya 🥰",4 months,Bobocabin Baturraden Purwokerto
ricky farici,5.0,,4 months,Bobocabin Baturraden Purwokerto
Stephani Fani,5.0,,4 months,Bobocabin Baturraden Purwokerto
krisno dwi raharjo,4.0,"Menyatu dengan hutan, tatanan kamar compact, sound system dan pencahayaan dalam kamar membuat semakin nyaman",4 months,Bobocabin Baturraden Purwokerto
Agung Susila,5.0,,4 months,Bobocabin Baturraden Purwokerto
kangmas faturi,1.0,Jelek buanget pelayananya... tidak bisa refund maupun rescedul. Apalagi kalau weekend tidak bisa diandalkan...,4 months,Bobocabin Baturraden Purwokerto
Muchamad Fatchuri,1.0,Tidak bisa rescedul maupun refund... jelek buanget pelayanannya.. apalagi kalau weekend tidak bisa diandalkan.,4 months,Bobocabin Baturraden Purwokerto
Aprilia Fajriati,5.0,"Tempat refreshing yg nyaman, udaranya ok, bisa ke air terjun yg berasa milik pribadi, suasananya enak, service nya ok, amenities juga lengkap. Aksesnya juga mudah. Harus cobain sih tidur ditengah hutan ❤️ waktu itu ada promo jd cuma kena di rate 500k/night",4 months,Bobocabin Baturraden Purwokerto
Mila myela,5.0,"Kamar bersih dan fasilitas ok
Makanannya pun juga enak. Ga jauh dari situ ada curug.
Mohon untuk kebersihan lebih dijaga, tempat makan bersama dan jalan2nya banyak dedaunan yg sepertinya sudah berhari2 tidak disapu, batang2 pohon yg ditebang juga tergeletak begitu saja ga dirapikan.",4 months,Bobocabin Baturraden Purwokerto
Agung Susila,5.0,,5 months,Bobocabin Baturraden Purwokerto
Moch. Iqbal Kurniawan,5.0,Amazing,5 months,Bobocabin Baturraden Purwokerto
unknown,5.0,Mantaappp 👍👍👍,5 months,Bobocabin Baturraden Purwokerto
Rizki AA,5.0,,5 months,Bobocabin Baturraden Purwokerto
Farid Garnadi,5.0,,5 months,Bobocabin Baturraden Purwokerto
Faisal Rosanto,5.0,,5 months,Bobocabin Baturraden Purwokerto
Leni aiai,5.0,Keren,5 months,Bobocabin Baturraden Purwokerto
Andini Nur Wahyuning Putri,5.0,for people who love quiet places... this hotel is very recommended!,5 months,Bobocabin Baturraden Purwokerto
Gunawan Wibisono,5.0,,5 months,Bobocabin Baturraden Purwokerto
Terang Abadi,5.0,"Refreshing disini cukup nyaman, ada fasilitas api unggun, (arang berbayar) air terjun dalam lokasi (namun menuju lokasi agak ekstrem naik turun dan licin) tapi bagus banget masih asri...

Kamar bagus dan bersih, modern dengan musik dan lampu yang keren bisa disetting sesuai pilihan.

Lokasi didalam tempat wisata jadi harus bayar masuknya... include kebun dan pencuran air hangat.

Suasana masih hutan hijau segar kalau malam sunyi senyap.",5 months,Bobocabin Baturraden Purwokerto
Dian Nugroho,5.0,"Sangat sangat rekomen untuk dicoba tidur di tengah hutan. Bener bener healing, air terjunya sangat indah dan bisa untuk berenang",6 months,Bobocabin Baturraden Purwokerto
jaka wiradinata,4.0,Nice modern cabin experience,6 months,Bobocabin Baturraden Purwokerto
Rajeendra Anthuryo,5.0,the place was beautiful,6 months,Bobocabin Baturraden Purwokerto
Rama Adinugraha,5.0,"Tempatnya asik, cukup dingin, punya Curug yg private khusus untuk bobo cabin, jdnya enak.. Malemnya bisa pesen barbequean, cocok bgt buat staycation disini, ga sia2 jauh2 dr bandung kesini..",6 months,Bobocabin Baturraden Purwokerto
Lingga Arrum,5.0,"Pengalaman menginap yang sangat luar biasa. Benar-benar rekomendasi banget buat yang mau istirahat dari bisingnya perkotaan. Walaupun menuju kabin melewati banyak anak tangga tapi cukup kids friendly. Saya bawa anak 1,5 th dan 3 thn mereka happy banget.",6 months,Bobocabin Baturraden Purwokerto
"Dr. zainu amri, M.Pd.",5.0,,6 months,Bobocabin Baturraden Purwokerto
Freddy Mulyana,5.0,,6 months,Bobocabin Baturraden Purwokerto
Tahanan KPK,5.0,Nyaman serasa di kampung,6 months,Bobocabin Baturraden Purwokerto
hery sehastian,5.0,Pegalaman menginap disini itu tenang dan damai. Karena dikawasan baturraden jadi selama menginap disini bs melakukan banyak kegiatan,6 months,Bobocabin Baturraden Purwokerto
Hany Kristinawati,5.0,"Saran saya jangan ikutin gmap soalnya akan diputer puterin ke jalan kecil,mendingan nanya orang sekitar buat lewat jalan utama menuju baturaden,bobocabinnya searah dengan wanawisata baturaden",6 months,Bobocabin Baturraden Purwokerto
Dias Taradhika,5.0,"Tempatnya bersih, pemandangan indah banget sejauh mata memandang hijau dan rimbunnya hutan , sunyi tenang, stafnya ramah-ramah banget. Baru datang langsung disarankan pake free wifi bobocabin, mantap sih. Stafnya seriusan murah senyum, setiap papasan aja senyum ramah banget. Makanannya enak banget. Kemarin dapat nasi goreng, makannya pake piring seng, jadul penuh kenangan. Kalo malem, bisa bbq-an ngegrill chicken marinated atau wagyu tenderloin. Booking bobocabin udah free ke curug dan kebun raya baturraden. Curugnya indah, ga ramai orang, trek menuju curug naik turun tapi aman karena disediakan tangga dan handrailnya. Menurutku sih, bobocabin baturraden, berasa banget glamping di dalam hutan rimbunnya. Mau datang kesini lagi, tunggu yaaaah. Keren sih.",6 months,Bobocabin Baturraden Purwokerto
sri mulyani,5.0,"Suka keliling bobocabin bobobox.. Curug nya bagus banget.
Tapi kalo malem gelap banget ga ada lampu sepanjang gunung, tapi pemandangan dipagi hari indah banget",6 months,Bobocabin Baturraden Purwokerto
amanda L,5.0,"Kalo mau yg hutan banget ini sih cocok banget dan enak banget..
Aku minta cabin atas view bagus cuma jalannya agak2 melelahkan naiknya..
Mas2.nya gercep dan okee lahh..
Kl mau bobo sini pastiin udh download aplikasi bobobox biar cepet check in..",6 months,Bobocabin Baturraden Purwokerto
Suroto Baroto2,4.0,,6 months,Bobocabin Baturraden Purwokerto
Constantino Waleng,5.0,Keren dapet suasana baru untuk accomodasi 👍🏻👍🏻👍🏻👍🏻,6 months,Bobocabin Baturraden Purwokerto
Ibnu Hans Verdianta,5.0,"Bagus, nyaman,",7 months,Bobocabin Baturraden Purwokerto
EL Nagira,5.0,,7 months,Bobocabin Baturraden Purwokerto
Luthfi Azhari,5.0,,7 months,Bobocabin Baturraden Purwokerto
Heru Prasetyo,5.0,,7 months,Bobocabin Baturraden Purwokerto
WAST BATANG,5.0,Nice place,7 months,Bobocabin Baturraden Purwokerto
Andrew Harcourts,5.0,So far enak koq…,7 months,Bobocabin Baturraden Purwokerto
Boyke Danoehoesodo,5.0,,7 months,Bobocabin Baturraden Purwokerto
Aurora Fathyaa,4.0,"Overall oke...
Paling saran untuk pihak Bobocabin Baturraden, mohon pasang exhaust fan di kamar mandi agar aliran udara lancar sehingga tidak bau.
Lalu sprei kasur mohon diberi pewangi, sprei kabin saya agak berbau lembab, mungkin karena disana cuaca selalu dingin. Baunya seperti karpet musola yang lembab.
Selain itu semua oke sesuai harga.",7 months,Bobocabin Baturraden Purwokerto
Rizal Rahmat Nurcahyo,5.0,,7 months,Bobocabin Baturraden Purwokerto
Muchlis Nur Hidayat,4.0,,7 months,Bobocabin Baturraden Purwokerto
Dede Jibril,5.0,,7 months,Bobocabin Baturraden Purwokerto
towo robedo,4.0,,7 months,Bobocabin Baturraden Purwokerto
Endy Toxz,4.0,,7 months,Bobocabin Baturraden Purwokerto
Oky Setiawan,5.0,Worth it for those who like stay cation + alamm. Nice poll,7 months,Bobocabin Baturraden Purwokerto
kang lndra,4.0,Dingin,7 months,Bobocabin Baturraden Purwokerto
Kaisar Fauziansyah,5.0,,8 months,Bobocabin Baturraden Purwokerto
Encep R Marsadi,5.0,,8 months,Bobocabin Baturraden Purwokerto
Meryta Winato,3.0,,8 months,Bobocabin Baturraden Purwokerto
wahyueka setiawan,5.0,,8 months,Bobocabin Baturraden Purwokerto
Nashrul Azmi,5.0,cocok banget buat ngadem,8 months,Bobocabin Baturraden Purwokerto
johnny cole,4.0,"I was looking a place for getaway and this is what I want peaceful and quiet, the room is basic but with nice modern touch. Everything working well, just watch out for bugs sometimes not much. If u love jungle feel, this is a must try.",8 months,Bobocabin Baturraden Purwokerto
Dian Retno Indriastuti,5.0,,8 months,Bobocabin Baturraden Purwokerto
Ali Ma’ruf,5.0,Bagus tempatnya dan view-nya,8 months,Bobocabin Baturraden Purwokerto
Novita Zain,5.0,"Kamar sangat nyaman, kamar mandi nyaman, lingkungan nyaman dan aman, petugas ramah, sarapan cukup, ada akses langsung ke air terjun. Mantappp",8 months,Bobocabin Baturraden Purwokerto
Ridzky setiaji,5.0,"Better pas musim kemarau,karena klo musim hujan serem juga pohon tinggi2 ranting2 jatuh ketiup angin klo hujan..tracking ke curung nya juga lebih aman daripada pas musim hujan karena jalanya curam sempit menukik.

Bagi yg suka ngemil atau gampang laper, bawa makanan banyak soalnya jauh dari tempat makan..ojol kemungkinan juga jarang mau antar..",8 months,Bobocabin Baturraden Purwokerto
Anthia Dinti,5.0,Kalau pengen merasakan sensasi staycation yang baru bobocabin patut dicoba,8 months,Bobocabin Baturraden Purwokerto
Deepak Dayaram Ghindwani,3.0,,8 months,Bobocabin Baturraden Purwokerto
Al Fath Ravi Haikal Pasca,5.0,"Menginap dengan experience tengah hutan..

Kami menginap di Room deluxe cabin dengan fasilitas kamar mandi dalam, AC, lampu Ambience, Handuk dan Peralatan mandi.. Selain itu kami dapat masker muka woow.
Disini jg mereka menjual makanan, karena lokasinya yang sangat jauh dari keramaian. Jangan beli popmie disini, mahal wkk
Disediakan juga dapur bersama bagi yang membawa bekal dan hendak menghangatkan makanan d microwave.
Ada sarapan juga yang bisa diantar atau diambil mulai jam 7, dan rasanya cukup lumayan.. Ada pilihan naskun dan nasgor saja..
Pegawai lumayan helpful🤙
Ada air terjun yang sangat bagus disini, pagi-pagi bisa ke Taman Baturaden atau ke air terjun disini, worthed 🤙
🌟🌟🌟🌟🌟🌟🌟🌟⭐⭐ 8/10",8 months,Bobocabin Baturraden Purwokerto
rizki hantono,5.0,"Ngikut map dari semarang,.mlah dilewatkan jalan tengah hujan..extreme..
Klo yg dri semarang mending ngeMap ke Putwokerto dlu..setelah smoe kota putwokerto bru ngeMap ke Bobocabin Baturaden..",8 months,Bobocabin Baturraden Purwokerto
Allie Badol,5.0,Pokoke asyik buat santai2 smbil liburan,8 months,Bobocabin Baturraden Purwokerto
abu fariha,4.0,Sejuk,8 months,Bobocabin Baturraden Purwokerto
JAFAR ALDEBARAN,5.0,"Tempatnya teduh, sejuk, banyak pohon tinggi dan besar.
Ruangannya menyenangkan, bikin betah di dalam. Kalau malam dingin tapi ada heater dan ada AC juga.

Anak² senang karena bisa mainan lampu yang bisa berganti² warna, jendela yang bisa diburamkan hanya dengan sekali pencetan. Ada backsound suara terapi aliran sungai atau hutan. Paginya dapat sarapan nasi liwet atau nasi uduk dan kopi/teh tinggal milih.
Cuma kalau laper pas tengah malam harus sedia persediaan makanan, karena warung agak jauh harus turun lagi, dan jalannya gelap dan sepi.
Di fasilitas aplikasinya kita bisa pesan makanan, tapi pas pesan, nyatanya ga bisa/ga tersedia, atau mungkin Mas/Mbaknya lagi males.
Kalau memang ga ada/ga bisa, lebih baik dihilangkan saja menu pesanan makanan di aplikasinya, jadi kita ga terlanjur berharap.
Akhirnya waktu itu ya terpaksa keluar/turun cari warung makan.

Ada air terjun Curug Tirta Sela yang ga jauh dari cabin. Airnya begitu jernih.
Di tengah perjalanan ada juga toilet, jadi kalau pas kebelet bisa ke toilet dulu, bukan di air terjunnya.
Ada bangunan deck/panggung dan kursi untuk foto².

Kalau pagi/siang suka ada penjual keliling jasuke, siomay, tanaman hias/bonsai.",8 months,Bobocabin Baturraden Purwokerto
Zola Zulaikha,5.0,sunyi yang menenangkan,9 months,Bobocabin Baturraden Purwokerto
Sugeng Yulianto,4.0,,9 months,Bobocabin Baturraden Purwokerto
Alif Bramasta Kusumah,5.0,just perfect for short escape!,9 months,Bobocabin Baturraden Purwokerto
Alexander Hery,5.0,,9 months,Bobocabin Baturraden Purwokerto
Heru Ika Anugrah Suci,5.0,,9 months,Bobocabin Baturraden Purwokerto
Nadiah Fatina,5.0,Terbaik sih 😘 adem banget tp gak bikin menggigil. Definisi healing beneran. Suka banget,9 months,Bobocabin Baturraden Purwokerto
Tony Hariadi,3.0,It's not for everyone. Difficult to contact front desk from your room. You can't go anywhere when it's raining.,9 months,Bobocabin Baturraden Purwokerto
Adik Arul,5.0,,10 months,Bobocabin Baturraden Purwokerto
Wedangan Chekly,5.0,Hutan,10 months,Bobocabin Baturraden Purwokerto
zeta,5.0,,10 months,Bobocabin Baturraden Purwokerto
zhafizky Bian,5.0,"Masuk ke area hutan lindung baturaden uda bayar duluan. Kukira ada free akses kalau mau nginep di bobocabin. Tp okelah mungkin biar sama sama dpt income.
Kamar nya oke , konsep smart room yg blm banyak saingannya jadi experience baru buat saya.
Suasananya tenang, cuman kalau mau kesini jangan bawa koper ya. Bawa tas aja yg gedean. Repot bawanya krn jalanan didominasi anak tangga. Ga ada ram buat koper.
Untuk karyawannya ramah.
Sip bisa buat alternatif healing",10 months,Bobocabin Baturraden Purwokerto
