nama,bintang,komentar,Waktu,Place name,clean_text
Rendi Mardianto,5.0,"friendly helpful staff, nice atmosphere for resting away from noise. there is a waterfall that is very beautiful, it's really great",6 days,Bobocabin Baturraden Purwokerto,"staff ramah helpfull, suasana enak buat istirahat jauh dari kebisingan. ada curug yang sangat beautyfull pokoknya mantap sekali"
Yellow Peony,5.0,"staycation here makes you feel at home, the room, the facilities, the view, everything is comfortable, the breakfast is also delicious,, if you are hungry at night you can also order food, just try the delicious menu 👌recommended, I will come here again..😁",6 days,Bobocabin Baturraden Purwokerto,"staycation disini bikin betah sih, roomnya, fasilitasnya,pemandangannya,nyaman semua,sarapannya juga enak,,kalo malam laper juga bisa pesan makanan,pas coba menunya enaak👌recomended next bakalan kesini lagi sih..😁"
sarah hanifah,5.0,"I don't regret coming here, it's highly recommended for a vacation, especially since the staff is also friendly",6 days,Bobocabin Baturraden Purwokerto,enggak menyesal deh kesini rekomended banget buat liburan apalagi staff nya juga ramah ramah
Vebs Jack,5.0,"cool, comfortable place, friendly receptionists",6 days,Bobocabin Baturraden Purwokerto,"tempat adem, nyaman, resepsionisnya ramah-ramah"
desi ratnasari,5.0,"nice place, comfortable and suitable for staycation",6 days,Bobocabin Baturraden Purwokerto,bagus tempatnya nyaman dan cocok untuk staycation
Nia Margiasih,5.0,Good,6 days,Bobocabin Baturraden Purwokerto,bagus
banana nanae,5.0,"good, easy location, comfortable place, very cool air",6 days,Bobocabin Baturraden Purwokerto,"bagus, lokasi mudah tempat nyaman udara sangat sejuk"
Fiorentina Devina,5.0,great for staying with friends and family.,6 days,Bobocabin Baturraden Purwokerto,enak buat nginep bareng teman dan keluarga.
Suparman S,5.0,"location in the forest, the cabin is suitable for those who want to go on holiday",6 days,Bobocabin Baturraden Purwokerto,"lokasi di dalam hutan,cabinya cocok yang mau liburan"
Arya Fadila,5.0,really good,a week,Bobocabin Baturraden Purwokerto,bagus banget
Oki seti Setia sejati,5.0,beautiful,a week,Bobocabin Baturraden Purwokerto,asri
Oki Seti Setia Sejati,5.0,nice and clean,a week,Bobocabin Baturraden Purwokerto,bagus dan bersih
eka santoso,5.0,good,a week,Bobocabin Baturraden Purwokerto,good
deva maulana,5.0,good,a week,Bobocabin Baturraden Purwokerto,good
Cepat Lakuuu,5.0,good,a week,Bobocabin Baturraden Purwokerto,good
Wiby Abhista,5.0,good,a week,Bobocabin Baturraden Purwokerto,good
Annalia Ernawati,5.0,good,a week,Bobocabin Baturraden Purwokerto,good
michael eric,5.0,amazing experience✌️,a week,Bobocabin Baturraden Purwokerto,pengalaman yang luar biasa✌️
Rima Krismeilita22,5.0,everything is beautiful,a week,Bobocabin Baturraden Purwokerto,semuanya indah
Nisa Aulia,5.0,great service and cabin,a week,Bobocabin Baturraden Purwokerto,mantap pelayanan dan cabinnya
Shinta Maharani,5.0,nice and comfortable for a healing trip with your partner🫰,a week,Bobocabin Baturraden Purwokerto,bagus dan nyaman untuk perjalanan healing bersama pasangan🫰
Slamet Nugroho,5.0,"the room is super comfortable, the cool place is perfect for those who want to vacation with family, friends, what with couples, and the place is in the Baturaden botanical garden area, close to attractions such as shower 7 and in the bottom of the bobocabin area there is a very nice waterfall, a very nice place to hang out . later in the evening we can order a bbq so those who want to stay don't worry because there are many options on the bbq menu😍",a week,Bobocabin Baturraden Purwokerto,"kamarnya super nyaman, tempat sejuk cocok banget buat yang pengin liburan sama keluarga,teman, apa sama pasangan, dan tempatnya berada di area kebun raya baturraden dekat dengan wisata seperti pancuran 7 dan di didalem area bobocabin ada curug yang bagus banget tempatnya enak banget buat nongkrong. terus pas malam kita bisa pesan bbq an jadi buat yang mau nginep enggak usah khawatir karena banyak pilihan menu bbq nya😍"
Fikri Ardian,5.0,"i had a very satisfying stay at this cabin. the facilities provided are excellent and cater to all my needs. the service from the hotel staff is very friendly and professional; they are always ready to assist quickly and efficiently. additionally, the cleanliness of the hotel is impeccable, from the rooms to the common areas. i highly recommend this hotel to anyone looking for a comfortable and high-quality place to stay",a week,Bobocabin Baturraden Purwokerto,"i had a very satisfying stay at this cabin. the facilities provided are excellent and cater to all my needs. the service from the hotel staff is very friendly and professional; they are always ready to assist quickly and efficiently. additionally, the cleanliness of the hotel is impeccable, from the rooms to the common areas. i highly recommend this hotel to anyone looking for a comfortable and high-quality place to stay"
vira fitri zulaikha,5.0,"The view and air are really great, it's like getting free oxygen",a week,Bobocabin Baturraden Purwokerto,"mantap banget sih view nya udaranya , sudah kayak dapat oksigen gratis"
Ricky Zulfandi,5.0,"took me around 8 hours drive from jakarta. at first, i thought its just a glamping but i was stunned when i found it was a high tech modern cabin ini the center of forest of high trees with so much tranquility and comfort.  they have their own waterfall inside the area and we can also enjoy the botanical garden and interesting spots ini the same area.",a week,Bobocabin Baturraden Purwokerto,"took me around 8 hours drive from jakarta. at first, i thought its just a glamping but i was stunned when i found it was a high tech modern cabin ini the center of forest of high trees with so much tranquility and comfort.  they have their own waterfall inside the area and we can also enjoy the botanical garden and interesting spots ini the same area."
Erwan Erwan,4.0,"The room is quite good, but if you bring children, it's not suitable because the room is very small and there are no TV facilities, some of the mosquito nets on the windows are broken, the position of the AC is uncomfortable because it directly hits the bed.",2 weeks,Bobocabin Baturraden Purwokerto,"room nya cukup baik, kalau bawa anak sih kurang cocok karena roomnya kecil banget dan tidak ada fasilitas tv, kawat nyamuk jendela ada yang sudak rusak, posisi ac tidak nyaman karena langsung kena tempat tidur"
Niki Ardhian,3.0,"can't choose room, no refill water best cabin no 11 and 34",2 weeks,Bobocabin Baturraden Purwokerto,"tidak bisa pilih room, tidak ada air isi ulang best cabin no 11 dan 34"
MUHAMMAD HAIKAL,5.0,"very comfortable, sophisticated, natural views, clean, everything is technological, from opening the door to payment. So for those who want to visit, make sure you have downloaded Bobobox and have sufficient balance.",3 weeks,Bobocabin Baturraden Purwokerto,"sangat nyaman, canggih, pemandangan alam, bersih, semua serba teknologi, dari buka pintu hingga pembayaran. jadi bagi yang mau berkunjung pastikan sudah download bobobox dan saldo sudah tercukupi."
dewi ida,5.0,"starting with curiosity but also worry at the same time, my husband and I just dared to book this accommodation. curious because it's unusual (in the middle of the forest & unique cabin) & worried because I was afraid of getting bored (I'm not someone who likes nature tourism hehe...). it turns out that when I arrived at the location, I was stunned. so cute, so calm, so serene, yet so modern. this staycation + healing was a success. thanks a lot bobocabin baturraden. next time I'll try bobocabin which one? 😁",a month,Bobocabin Baturraden Purwokerto,"diawali rasa penasaran tapi juga khawatir di saat bersamaan, aku & suami nekat saja booking akomodasi ini. penasaran karena enggak biasa (di tengah hutan & unik cabinnya) & khawatir karena takutnya bakal bosan (aku bukan orang yang suka wisata alam hehe...). ternyata sampai lokasi, i was stunned. so cute, so calm, so serene, yet so modern.  staycation + healing kali ini sukses banget. thanks a lot bobocabin baturraden. next mencoba bobocabin mana lagi ya? 😁"
buat senang,5.0,there are lots of ghosts,a month,Bobocabin Baturraden Purwokerto,kuntilanak nya banyak
anshah lesmana,5.0,"It was a very interesting experience deciding to stay here, I don't know if there are other cabins but in Baturaden, the vibes are really exciting, it's really in the middle of the pine forest, it's forest-like, cool, calm, really healing ❤️ the morning was also very beautiful. I want a really good one, but it's comfortable, yes, it's comfortable, even if I bring 1 toodler and 1 baby, they're comfortable ❤️ toodler can easily change the lights, have sound effects, etc. hihi hightech!  Yes, I'm tired just going up. There's a waterfall in the bobocabin complex, but I can't go there because the road is not kid-friendly, so I'm looking for another waterfall. Hi, the road to the bobocabin complex is pretty good. Don't go here at night. It's better than the day, so I know the terrain.",a month,Bobocabin Baturraden Purwokerto,"pengalaman yang menarik banget memutuskan nginep disini, entah ya kalo bobocabin lain tapi di baturaden ini vibes nya seru banget, benar benar di tengah hutan pinusnya perhutani, adem, tenang benaran healing ❤️  pagi tuh juga syahdu banget suasananya..  soal cabin ya standar ya kalo ngarepin yang bagus banget ya enggak, tapi nyaman iya kok nyaman even saya bawa 1 toodler dan 1 bayi mereka nyaman ❤️ toodler senang bisa ganti2 lampu, ada efek suara dsb hihi hightech ya!  ya capek naik saja sih wkwk  ada curug dalam komplek bobocabin tapi enggak kesana karena jalannya kurang kids friendly jadi cari curug lain hihi  jalan ke komplek bobocabinnya lumayan ya jangan langsung malam sih kesini enak dari siang jadi tau medan hehe"
mia andromeda,3.0,"self service using the bobobox application, located in the forest, access to bobocabin at night is pitch black btw access to bobocabin must be paid again at the front counter 25 thousand per person even though I said I wanted to stay at bobocabin 😌 in the bobocabin area there is a very beautiful waterfall, but access is not safe for small children, let alone the elderly (steep stairs) the bed is very dusty, sorry 😁 the toilet is quite clean if you want to have dinner at bobocabin, you can order through the bobobox application (but the price is quite expensive) breakfast is delicious but not varied there is nothing else to do around besides walking to the waterfall, so in my opinion it is not interesting, especially with the price being quite expensive and the bed being dusty 🙏🏻",a month,Bobocabin Baturraden Purwokerto,"self service menggunakan aplikasi bobobox, berlokasi di dalam hutan, akses menuju bobocabin di malam hari gelap gulita  btw akses ke bobocabin kudu bayar lagi di loket depan 25 ribu per orang padahal sudah bilang mau menginap di bobocabin 😌  di dalam area bobocabin ada air terjun yang cantik sekali, tapi aksesnya enggak aman buat anak kecil apalagi orangtua (tangga curam)  dipan mohon maaf berdebu sekali 😁  toilet cukup bersih apabila ingin makan malam di bobocabin bisa order melalui aplikasi bobobox (tapi harga cukup mahal ya)  sarapan enak tapi tidak bervariasi  tidak ada hal lain yang bisa dilakukan disekitar selain jalan ke air terjun, jadi menurut saya kurang menarik apalagi dengan harga yang cukup mahal dan dipan yang berdebu 🙏🏻"
nisya dillah,5.0,definitely come back again,a month,Bobocabin Baturraden Purwokerto,pasti kembali lagi
Handi S,5.0,the room is clean. there is a glass window directly facing the pine forest. the place is cool. there is a waterfall nearby. recommended 👍👍,a month,Bobocabin Baturraden Purwokerto,kamarnya bersih. ada jendela kaca langsung hadap ke hutan pinus. tmptnya dingin. ada air terjun dekat sana. recomended 👍👍
rizky “putra” pratama,5.0,the best place throughout the holiday ❤️,a month,Bobocabin Baturraden Purwokerto,tempat terbaik sepanjang liburan ❤️
Aly Genzo,5.0,"The location is in the Baturaden botanical garden, very easily accessible, not far from the Baturaden entrance via Purwokerto. beautiful cool atmosphere, good for relaxing. good service, friendly, if it's night, the sound of nature is mesmerizing.. if you're bored during the day, you can walk to the waterfall, road 15 directly to the waterfall, which is very nice.",a month,Bobocabin Baturraden Purwokerto,"lokasi ada didalam kebun raya baturaden,sangat mudah diakses,gajauh dsri pintu masuk baturaden via purwokerto. suasana adem asri,enak buat istirahat. pelayanan baik,ramah ramah, kalo malam syahdu suara alamnya.. kalo siang bosan bisa jalan jalan ke curug,jalan 15 langsung sampai ke curug yang sangat bagus."
Yakup Toni,5.0,"bobocabin baturraden, purwokerto bobocabin stay. room: super clean cabin staff: friendly, just a bit long if we request something.. location: pine forest..clean air.. quiet, cozy, . parking is available and spacious, basically this is: ""stunning location, breathtaking place, cozy place, amazing wilderness, incredible air, epic place"". overall, 5⭐ + 5⭐ again for all the judges given.!",a month,Bobocabin Baturraden Purwokerto,"bobocabin baturraden, purwokerto bobocabin stay. room : cabin superbersih staff : ramah, cuman agak lama saja kalo kita rikues sesuatu.. lokasi : hutan pinus..udara bersih.. tenang, cozy,   . parkir ada dan luas, pokoknya ini : ""stunning location, breathtaking place, cozy place, amazing wilderness, incredible air, epic place"". overall, 5⭐ + 5⭐ again for all the judges given.!"
anwar subianto,5.0,"alhamdulillah, first experience to feel and stay in bobocabin. maybe will try similar accommodation in other places",a month,Bobocabin Baturraden Purwokerto,"alhamdulillah, pengalaman pertama merasakan dan menginap di bobocabin. mungkin akan mencoba akomodasi sejenis di tempat lain"
FAN,5.0,recommended lah,2 months,Bobocabin Baturraden Purwokerto,recommended lah
awan ganesha,5.0,peaceful place to spend the weekend,2 months,Bobocabin Baturraden Purwokerto,peaceful place to spend the weekend
Aviani Dewi,5.0,enter to enter the waterfall.,2 months,Bobocabin Baturraden Purwokerto,masuk untuk masuk ke curug.
Debora Catur,4.0,"the place is comfortable and quiet, the vibes are like a real forest, the room is clean, deluxe is enough for 2 adults + 1 small child, there is also a bbq package for a night out. the lobby is a bit of a hassle when you bring a bocil, there is a nice waterfall and it is not far from the cabin, it feels private over all and pleasant, (-) the road to the cabin is slippery and there is a lot of moss, in front of the room is also a suggestion for those from Semarang to use maps directly to bobocabin , better go to Purwokerto Kota first because we passed in the middle of the forest yesterday 🙀 luckily we went there in the morning so it wasn't so creepy",2 months,Bobocabin Baturraden Purwokerto,"tempat nya nyaman sunyi, vibes nya kayak hutan benaran, kamarnya bersih, deluxe cukup untuk 2 dewasa + 1 anak kecil bbq package juga ada buat seru seruan malam breakfast nya nasi goreng dan nasi kuning nya lumayan enak juga, sayang dapat cabin paling ujung jauh dari lobi pas bawa bocil agak repot ada curug nya bagus dan enggak jauh dari cabin, berasa private over all menyenangkan,  (-) jalan nya ke cabin cabin licin dan banyak lumut, di depan kamar pun juga saran untuk yang dari semarang nge maps langsung ke bobocabin, better ke purwokerto kota dulu karena kita kemarin lewat di tengah hutan 🙀 untung kita ke sana pagi jadi enggak begitu creepy"
Arifur Rahman,5.0,"located in the Baturraden tourist forest area, other tourist options are not far from this location. there is the Tirta Sela waterfall",2 months,Bobocabin Baturraden Purwokerto,"terletak di kawasan wana wisata baturraden, opsi wisata lain enggak jauh dari lokasi ini. ada curug tirta sela"
Pandu Wibowo,5.0,"a perfect place to get back to nature. calm and quiet, just the sounds of nature. re-establish family ties in the midst of nature while spending time together",2 months,Bobocabin Baturraden Purwokerto,"tempat yang cocok untuk kembali ke alam. tenang dan sunyi, hanya suara alam. mengeratkan kembali ikatan keluarga di tengah alam sambil menghabiskan waktu bersama"
Uliek Mandiri,2.0,"the ambience was great, quite, clear air. the room was comfortable and set up with smart home equipment. too bad the service was poor. i ordered indomie from one of their menu which according to the staff’s information during check ini will be sub-coned to local people. after ini total 2,5 harus waiting, chat the staff through their app, sent my sons to check with staff, went together with hubby to meet the staff.. my chat went unanswered and the indomie never came. finally at 7pm we decided to go outside to have our dinner. our stay experience could have been great, if only the host put more attention to their service quality.",3 months,Bobocabin Baturraden Purwokerto,"the ambience was great, quite, clear air. the room was comfortable and set up with smart home equipment. too bad the service was poor. i ordered indomie from one of their menu which according to the staff’s information during check ini will be sub-coned to local people. after ini total 2,5 harus waiting, chat the staff through their app, sent my sons to check with staff, went together with hubby to meet the staff.. my chat went unanswered and the indomie never came. finally at 7pm we decided to go outside to have our dinner. our stay experience could have been great, if only the host put more attention to their service quality."
Julisa Then,5.0,cool concept. all digital,3 months,Bobocabin Baturraden Purwokerto,keren konsepnya. serba digitalisasi
Rahmat Juwanto,5.0,Good,3 months,Bobocabin Baturraden Purwokerto,bagus
Moez,5.0,"everything was superb just input for further improvement, need a stronger wifi signal 😁",3 months,Bobocabin Baturraden Purwokerto,"everything was superb just input for further improvement, need a stronger wifi signal 😁"
Rani Rdm,5.0,"very private, far from the hustle and bustle of the city. service ok, cabin clean, hot water smooth no problems. breakfast is also delicious (fried rice and yellow rice). access is very easy 💕 for a complete review can be seen on youtube ricky farici yes 🥰",4 months,Bobocabin Baturraden Purwokerto,"sangat private ,, jauh dari keramaian kota. service ok ,, cabin bersih, air panas lancar tidak ada kendala . sarapan juga enak ( nasi goreng dan nasi kuning ). akses sangat mudah  💕 untuk review lengkapnya bisa dilihat di youtube ricky farici ya 🥰"
krisno dwi raharjo,4.0,"blending with the forest, compact room layout, sound system and lighting in the room make it even more comfortable",4 months,Bobocabin Baturraden Purwokerto,"menyatu dengan hutan, tatanan kamar compact, sound system dan pencahayaan dalam kamar membuat semakin nyaman"
kangmas faturi,1.0,the service is really bad. can't refund or reschedule. especially on weekends it can't be relied on.,4 months,Bobocabin Baturraden Purwokerto,jelek banget pelayananya. tidak bisa refund maupun rescedul. apalagi kalau weekend tidak bisa diandalkan.
Muchamad Fatchuri,1.0,cannot be rescheduled or refunded. the service is really bad... especially on weekends it's not reliable.,4 months,Bobocabin Baturraden Purwokerto,tidak bisa rescedul maupun refund. jelek banget pelayanannya.. apalagi kalau weekend tidak bisa diandalkan.
Aprilia Fajriati,5.0,"comfortable refreshing place, the air is ok, you can go to the waterfall which feels like your own property, the atmosphere is nice, the service is ok, the amenities are also complete. access is also easy. you have to try sleeping in the middle of the forest ❤️ at that time there was a promo so the rate was only 500k/night",4 months,Bobocabin Baturraden Purwokerto,"tempat refreshing yang nyaman, udaranya ok, bisa ke air terjun yang berasa milik pribadi, suasananya enak, service nya ok, amenities juga lengkap. aksesnya juga mudah. harus mencoba sih tidur ditengah hutan ❤️ waktu itu ada promo jadi cuma kena di rate 500k/night"
Mila myela,5.0,"clean room and good facilities, the food is also delicious. not far from there is a waterfall. please maintain cleanliness more, the communal dining area and the paths are full of leaves that look like they haven't been swept for days, the trunks of felled trees are also just lying around not tidied up.",4 months,Bobocabin Baturraden Purwokerto,"kamar bersih dan fasilitas ok makanannya pun juga enak. enggak jauh dari situ ada curug. mohon untuk kebersihan lebih dijaga, tempat makan bersama dan jalan2nya banyak dedaunan yang sepertinya sudah berhari2 tidak disapu, batang2 pohon yang ditebang juga tergeletak begitu saja enggak dirapikan."
Moch. Iqbal Kurniawan,5.0,amazing,5 months,Bobocabin Baturraden Purwokerto,amazing
unknown,5.0,steady 👍,5 months,Bobocabin Baturraden Purwokerto,mantap 👍
Leni aiai,5.0,keren,5 months,Bobocabin Baturraden Purwokerto,keren
Andini Nur Wahyuning Putri,5.0,for people who love quiet places. this hotel is very recommended!,5 months,Bobocabin Baturraden Purwokerto,for people who love quiet places. this hotel is very recommended!
Terang Abadi,5.0,"refreshing here is quite comfortable, there are campfire facilities, (charcoal paid) waterfalls in the location (but towards the location is a bit extreme up and down and slippery) but it's really nice, still natural. nice and clean rooms, modern with cool music and lights that can be set according to choice. the location is in a tourist spot so you have to pay to enter. includes gardens and hot water fountains. the atmosphere is still a fresh green forest if the night is quiet.",5 months,Bobocabin Baturraden Purwokerto,"refreshing disini cukup nyaman, ada fasilitas api unggun, (arang berbayar) air terjun dalam lokasi (namun menuju lokasi agak ekstrem naik turun dan licin) tapi bagus banget masih asri.  kamar bagus dan bersih, modern dengan musik dan lampu yang keren bisa disetting sesuai pilihan.  lokasi didalam tempat wisata jadi harus bayar masuknya. include kebun dan pencuran air hangat.  suasana masih hutan hijau segar kalau malam sunyi senyap."
Dian Nugroho,5.0,"very very recommended to try sleeping in the middle of the forest. really healing, the waterfall is very beautiful and you can swim",6 months,Bobocabin Baturraden Purwokerto,"sangat sangat rekomen untuk dicoba tidur di tengah hutan. benar benar healing, air terjunya sangat indah dan bisa untuk berenang"
jaka wiradinata,4.0,nice modern cabin experience,6 months,Bobocabin Baturraden Purwokerto,nice modern cabin experience
Rajeendra Anthuryo,5.0,the place was beautiful,6 months,Bobocabin Baturraden Purwokerto,the place was beautiful
Rama Adinugraha,5.0,"the place is cool, it's quite cold, it has a private waterfall specially for bobo cabin, it's good.. you can order barbequean in the evening, it's perfect for a staycation here, it's not for nothing that it's far from bandung here..",6 months,Bobocabin Baturraden Purwokerto,"tempatnya asik, cukup dingin, punya curug yang private khusus untuk bobo cabin, jdnya enak.. malemnya bisa pesan barbequean, cocok banget buat staycation disini, enggak sia2 jauh2 dari bandung kesini.."
Lingga Arrum,5.0,a very extraordinary stay experience. really highly recommended for those who want to take a break from the noise of the city. although going to the cabin through many stairs but quite kids friendly. I brought a 1.5 year old and 3 year old child they were very happy.,6 months,Bobocabin Baturraden Purwokerto,"pengalaman menginap yang sangat luar biasa. benar-benar rekomendasi banget buat yang mau istirahat dari bisingnya perkotaan. walaupun menuju kabin melewati banyak anak tangga tapi cukup kids friendly. saya bawa anak 1,5 tahu dan 3 tahun mereka happy banget."
Tahanan KPK,5.0,"comfortable, feels like being in a village",6 months,Bobocabin Baturraden Purwokerto,nyaman serasa di kampung
hery sehastian,5.0,"the experience of staying here is calm and peaceful. because it is in the Baturraden area, so while staying here you can do many activities",6 months,Bobocabin Baturraden Purwokerto,pegalaman menginap disini itu tenang dan damai. karena dikawasan baturraden jadi selama menginap disini bisa melakukan banyak kegiatan
Hany Kristinawati,5.0,"My suggestion is not to follow the gmap because it will take you round a small road, it's better to ask people around to go via the main road to Baturaden, Bobo Cabin is in the same direction as Baturaden Ecotourism",6 months,Bobocabin Baturraden Purwokerto,"saran saya jangan mengikuti gmap soalnya akan diputer puterin ke jalan kecil,mendingan bertanya orang sekitar buat lewat jalan utama menuju baturaden,bobocabinnya searah dengan wanawisata baturaden"
Dias Taradhika,5.0,"the place is clean, the view is very beautiful as far as the eye can see, green and lush forest, quiet and peaceful, the staff are very friendly. just arrived immediately suggested to use free wifi bobocabin, great. the staff is serious, smiling a lot, every time we pass each other they smile very friendly. the food is very delicious. yesterday I got fried rice, ate it on a zinc plate, old school full of memories. at night, you can barbecue marinated chicken or wagyu tenderloin. booking bobocabin already free to go to the waterfall and baturraden botanical garden. the waterfall is beautiful, not crowded with people, the track to the waterfall is up and down but safe because there are stairs and handrails. in my opinion, bobocabin baturraden, really feels like glamping in the lush forest. want to come here again, wait. cool.",6 months,Bobocabin Baturraden Purwokerto,"tempatnya bersih, pemandangan indah banget sejauh mata memandang hijau dan rimbunnya hutan , sunyi tenang, stafnya ramah-ramah banget. baru datang langsung disarankan pakai free wifi bobocabin, mantap sih. stafnya seriusan murah senyum, setiap papasan saja senyum ramah banget. makanannya enak banget. kemarin dapat nasi goreng, makannya pakai piring seng, jadul penuh kenangan. kalo malam, bisa bbq-an ngegrill chicken marinated atau wagyu tenderloin. booking bobocabin sudah free ke curug dan kebun raya baturraden. curugnya indah, enggak ramai orang, trek menuju curug naik turun tapi aman karena disediakan tangga dan handrailnya. menurutku sih, bobocabin baturraden, berasa banget glamping di dalam hutan rimbunnya. mau datang kesini lagi, tunggu ya. keren sih."
sri mulyani,5.0,"like to go around bobocabin bobobox .. the waterfall is very nice. but if the night is very dark there are no lights along the mountain, but the scenery in the morning is very beautiful",6 months,Bobocabin Baturraden Purwokerto,"suka keliling bobocabin bobobox.. curug nya bagus banget. tapi kalo malam gelap banget enggak ada lampu sepanjang gunung, tapi pemandangan dipagi hari indah banget"
amanda L,5.0,"if you want the forest, this is very suitable and very tasty.. I asked for a cabin with a good view, but the road is a bit tiring going up.. bro, it's quick and okay.. if you want to sleep here, make sure you have downloaded the bobobox application so that you can check it quickly. .",6 months,Bobocabin Baturraden Purwokerto,kalo mau yang hutan banget ini sih cocok banget dan enak banget.. aku meminta cabin atas view bagus cuma jalannya agak2 melelahkan naiknya.. mas2.nya gercep dan okee lah.. kalo mau bobo sini pastiin sudah download aplikasi bobobox biar cepat check ini..
Constantino Waleng,5.0,cool to get a new atmosphere for accommodation 👍🏻👍🏻👍🏻👍🏻,6 months,Bobocabin Baturraden Purwokerto,keren dapat suasana baru untuk accomodasi 👍🏻👍🏻👍🏻👍🏻
Ibnu Hans Verdianta,5.0,"nice, comfortable,",7 months,Bobocabin Baturraden Purwokerto,"bagus, nyaman,"
WAST BATANG,5.0,nice place,7 months,Bobocabin Baturraden Purwokerto,nice place
Andrew Harcourts,5.0,So far it's delicious...,7 months,Bobocabin Baturraden Purwokerto,so far enak kok…
Aurora Fathyaa,4.0,"overall okay. most suggestion for bobocabin baturraden, please install exhaust fan in the bathroom so that air flow is smooth so it doesn't smell. then please give the bed sheet some fragrance, my cabin sheet smells a bit damp, maybe because the weather is always cold there. it smells like damp prayer room carpet. other than that everything is okay according to the price.",7 months,Bobocabin Baturraden Purwokerto,"overall oke. paling saran untuk pihak bobocabin baturraden, mohon pasang exhaust fan di kamar mandi agar aliran udara lancar sehingga tidak bau. lalu sprei kasur mohon diberi pewangi, sprei kabin saya agak berbau lembab, mungkin karena disana cuaca selalu dingin. baunya seperti karpet musola yang lembab. selain itu semua oke sesuai harga."
Oky Setiawan,5.0,worth it for those who like stay cation + alamm. nice poll,7 months,Bobocabin Baturraden Purwokerto,worth it for those who like stay cation + alamm. nice poll
kang lndra,4.0,cold,7 months,Bobocabin Baturraden Purwokerto,dingin
Nashrul Azmi,5.0,very suitable for ngadem,8 months,Bobocabin Baturraden Purwokerto,cocok banget buat ngadem
